Name,Category,Value,Color,Description,Team,Skills,Complexity Score,Urgency Score,Business Impact
"1️⃣ Prelease","release_phase","prelease","006b75","Tasks for the pre-MVP release with only the bare minimum to launch, without customer validation.","","",,,""
"2️⃣ MVP","release_phase","mvp","0075ca","Tasks for the initial MVP release, focusing on core features and validation.","","",,,""
"3️⃣ Post Release","release_phase","post_release","28a745","Tasks for improving the product after MVP launch, based on feedback from signed-up users.","","",,,""
"⏳ Story Points: 1","story_points","1","6f42c1","Estimated effort: 1-2 hours.","","",,,""
"⏳ Story Points: 2-3","story_points","2.5","ffdf5d","Estimated effort: 2-4 hours.","","",,,""
"⏳ Story Points: 5","story_points","5","ff7800","Estimated effort: 5-8 hours.","","",,,""
"⏳ Story Points: 8","story_points","8","d73a4a","Estimated effort: 10-16 hours.","","",,,""
"⏳ Story Points: 13","story_points","13","a29bfe","Estimated effort: 16+ hours.","","",,,""
"⏳ Story Points: 20+","story_points","20","000000","Estimated effort: 40+ hours.","","",,,""
"🌱 Difficulty: Simple","difficulty","simple","0e8a16","Basic tasks with minimal complexity.","","",1,,""
"👍 Difficulty: Easy","difficulty","easy","f9d0c4","Low-complexity tasks, typically straightforward.","","",2,,""
"🛠️ Difficulty: Moderate","difficulty","moderate","ffdf5d","Tasks of medium complexity affecting multiple components.","","",3,,""
"🔥 Difficulty: Hard","difficulty","hard","d73a4a","High-complexity tasks involving significant changes.","","",4,,""
"🧠 Difficulty: Very Hard","difficulty","very_hard","5319e7","Advanced tasks requiring deep expertise or extensive work.","","",5,,""
"⚫ Difficulty: Epic","difficulty","epic","000000","Large, multi-phase tasks or projects requiring significant effort.","","",6,,""
"🚨 Priority: Critical","priority","critical","e11d21","Urgent tasks that must be handled immediately to avoid major problems or system failure.","","",,4,"high"
"🚨 Priority: High","priority","high","fbca04","Requires timely attention. May cause larger issues if not addressed soon.","","",,3,"high"
"🚨 Priority: Medium","priority","medium","fef2c0","Important tasks, but not urgent. Should be addressed after high-priority items.","","",,2,"medium"
"🚨 Priority: Low","priority","low","c2e0c6","Tasks with minimal impact. Can be handled when there's free time.","","",,1,"low"
"🎨 Client Side","development_area","frontend","1b6b91","Tasks related to frontend development, such as UI/UX or component design.","frontend","react; vue; angular; css; html; javascript",,,""
"🖥️ Backend","development_area","backend","6e5494","Tasks related to backend development, such as APIs, databases, or server logic.","backend","nodejs; python; java; sql; api; database",,,""
"☁️ Cloud Infrastructure","development_area","infrastructure","ffd33d","Tasks involving AWS services such as EC2, S3, RDS, Lambda, and other cloud-based infrastructure.","devops","aws; docker; kubernetes; terraform; ci/cd",,,""
"⚙️ DevOps","development_area","devops","6f42c1","Tasks associated with development operations, including automation, CI/CD, and infrastructure management.","devops","jenkins; github-actions; docker; monitoring; deployment",,,""
"👩‍💻 Component/UI","development_area","ui_components","c5def5","Tasks for developing or designing individual UI components, focusing on reusable elements.","frontend","react; vue; angular; design-systems; accessibility",,,""
"🧠 Logic/Functions","development_area","business_logic","6e5494","Tasks for implementing behind-the-scenes business logic and functions, not related to visuals.","backend","algorithms; data-structures; business-logic; api-design",,,""
"🍎 Platform-Specific: iOS","platform","ios","2ea44f","Tasks specific to iOS development, including iPhone/iPad features and compatibility.","mobile","swift; objective-c; ios; xcode; app-store",,,""
"🤖 Platform-Specific: Android","platform","android","4c1a95","Tasks related to Android-specific development and compatibility.","mobile","kotlin; java; android; android-studio; google-play",,,""
"📱 App Store / Google Play Store","platform","app_stores","5319e7","Things related to App Store and Google Play Store.","mobile","app-store; google-play; deployment; store-optimization",,,""
"🔬 Testing: Unit","testing","unit","e7e7e7","Tasks focused on writing or running unit tests for individual components.","qa","",,,""
"🧩 Testing: Integration","testing","integration","f9d0c4","Tasks for ensuring that different parts of the system work together as expected.","qa","",,,""
"🌐 Testing: End-to-End","testing","e2e","a2eeef","Tasks involving tests that validate the entire application flow from start to finish.","qa","",,,""
"🔬 QA/Automation","testing","automation","2db1eb","Tasks involving writing, updating, or automating tests to ensure code quality.","qa","",,,""
"📚 Documentation: Updates","documentation","updates","6c757d","Tasks involving updates or improvements to existing documentation.","content","",,,""
"📝 Documentation: New","documentation","new","0052cc","Tasks focused on creating entirely new documentation.","content","",,,""
"✨ Feature","issue_type","feature","663399","Tasks focused on developing new features or adding functionality.","","",,,""
"🪲 Bug","issue_type","bug","d73a4a","Something isn't working.","","",,,""
"📉 Technical Debt","issue_type","technical_debt","f9d0c4","Tasks related to addressing shortcuts or temporary fixes that need improvement.","","",,,""
"🚀 Performance","issue_type","performance","ffd33d","Performance-related improvements and optimizations.","","",,,""
"🔄 Maintenance: Dependency Update","maintenance","dependency_update","0366d6","Tasks related to updating project dependencies like libraries or frameworks.","devops","",,,""
"🧹 Maintenance: Chore","maintenance","chore","e4e669","Routine maintenance tasks that are required for upkeep but don't add features.","general","",,,""
"🏬 Deployment: App Store Release","deployment","app_store","ffdf5d","Tasks related to preparing and submitting updates to the App Store.","mobile","",,,""
"📱 Deployment: Google Play Release","deployment","google_play","a4f9e0","Tasks related to submitting updates to Google Play for Android users.","mobile","",,,""
"🚀 Deployment: TestFlight Release","deployment","testflight","0366d6","Tasks related to preparing and rolling updates to TestFlight for beta testing.","mobile","",,,""
"🧪 Validation: TestFlight","validation","testflight","fbca04","Tasks related to validating features and collecting feedback from TestFlight users.","qa","",,,""
"📱 Validation: Platform-Specific","validation","platform_specific","e7e7e7","Tasks for platform-specific validation, such as for iOS or Android environments.","qa","",,,""
"JavaScript","language","javascript","f1e05a","JavaScript and TypeScript related changes.","","",,,""
"Python","language","python","3572A5","Python related changes.","","",,,""
"Java","language","java","b07219","Java related changes.","","",,,""
"Swift","language","swift","ffac45","Swift related changes.","","",,,""
"Kotlin","language","kotlin","F18E33","Kotlin related changes.","","",,,""
"Go","language","go","00ADD8","Go related changes.","","",,,""
"Rust","language","rust","dea584","Rust related changes.","","",,,""
"PHP","language","php","4F5D95","PHP related changes.","","",,,""
"Ruby","language","ruby","701516","Ruby related changes.","","",,,""
"C#","language","csharp","178600","C# related changes.","","",,,""
